BL-3_x_area_828.rdf	ZoomonlyGP1_xdry-saveimages-v0700.afg	x_area	2/26/2020	17:58	2 min 4 s					
110	111	0	100	0	0	0	1	0	0	110.5
109	110	0	100	0	0	0	1	0	0	109.5
108	109	0	100	0	0	0	1	0	0	108.5
107	108	0	100	0	0	0	1	0	0	107.5
106	107	0	100	0	0	0	1	0	0	106.5
105	106	0	100	0	0	0	1	0	0	105.5
104	105	0	100	0	0	0	1	0	0	104.5
103	104	0	100	0	0	0	1	0	0	103.5
102	103	0	100	0	0	0	1	0	0	102.5
101	102	0	100	0	0	0	1	0	0	101.5
100	101	0	100	0	0	0	1	0	0	100.5
99	100	0	100	0	0	0	1	0	0	99.5
98	99	0	100	0	0	0	1	0	0	98.5
97	98	0	100	0	0	0	1	0	0	97.5
96	97	0	100	0	0	0	1	0	0	96.5
95	96	0	100	0	0	0	1	0	0	95.5
94	95	0	100	0	0	0	1	0	0	94.5
93	94	0	100	0	0	0	1	0	0	93.5
92	93	0	100	0	0	0	1	0	0	92.5
91	92	0	100	0	0	0	1	0	0	91.5
90	91	0	100	0	0	0	1	0	0	90.5
89	90	0	100	0	0	0	1	0	0	89.5
88	89	0	100	0	0	0	1	0	0	88.5
87	88	0	100	0	0	0	1	0	0	87.5
86	87	0	100	0	0	0	1	0	0	86.5
85	86	0	100	0	0	0	1	0	0	85.5
84	85	0	100	0	0	0	1	0	0	84.5
83	84	0	100	0	0	0	1	0	0	83.5
82	83	0	100	77.6	71.1	106.6	0.648	0.667	0.948	82.7
81	82	0	100	0	0	0	1	0	0	81.5
80	81	0	100	0	0	0	1	0	0	80.5
79	80	0	100	0	0	0	1	0	0	79.5
78	79	0	100	0	0	0	1	0	0	78.5
77	78	0	100	0	0	0	1	0	0	77.5
76	77	0	100	0	0	0	1	0	0	76.5
75	76	0	100	0	0	0	1	0	0	75.5
74	75	0	100	0	0	0	1	0	0	74.5
73	74	0	100	0	0	0	1	0	0	73.5
72	73	0	100	0	0	0	1	0	0	72.5
71	72	0	100	0	0	0	1	0	0	71.5
70	71	0	100	0	0	0	1	0	0	70.5
69	70	0	100	0	0	0	1	0	0	69.5
68	69	0.1	100	57.3	54.6	90.4	0.743	0.612	0.967	68.3
67	68	0.1	99.9	50.4	48.3	95.4	0.744	0.514	0.978	67.7
66	67	0	99.8	55.4	55.1	88.2	0.765	0.628	0.972	66.6
65	66	0.1	99.8	51.8	51.2	87.8	0.773	0.592	0.956	65.2
64	65	0.1	99.7	49.1	48	89.4	0.758	0.555	0.977	64.5
63	64	0.1	99.6	52.4	49.6	84.8	0.732	0.588	0.966	63.7
62	63	0.1	99.5	57.5	56.7	73.6	0.819	0.774	0.983	62.3
61	62	0.1	99.4	55.2	53.9	75.7	0.809	0.717	0.977	61.5
60	61	0.1	99.3	54	52.6	72.9	0.81	0.736	0.983	60.5
59	60	0.2	99.2	53	51.8	72.2	0.852	0.734	0.983	59.5
58	59	0.4	99	52.1	50.6	71.3	0.833	0.721	0.981	58.4
57	58	0.6	98.6	52.5	51.5	67.8	0.846	0.77	0.985	57.4
56	57	0.4	98	52.2	51.3	65.7	0.87	0.796	0.985	56.4
55	56	0.6	97.6	50.9	50.3	64.2	0.881	0.794	0.984	55.5
54	55	0.8	97	50	49.2	63	0.875	0.793	0.987	54.5
53	54	1.1	96.2	49.6	49.1	60.8	0.899	0.818	0.99	53.5
52	53	1	95.1	49.2	48.7	59.9	0.89	0.826	0.989	52.5
51	52	1.1	94.1	47.4	46.9	58.6	0.903	0.81	0.99	51.5
50	51	1.1	93	46.7	46.1	57.9	0.889	0.808	0.989	50.5
49	50	1.1	91.9	46.5	46	55.5	0.91	0.838	0.991	49.5
48	49	1.2	90.8	44.5	44	56.2	0.88	0.794	0.988	48.5
47	48	1.7	89.6	44.2	43.7	54	0.901	0.82	0.989	47.5
46	47	1.7	87.9	43.5	43.1	52.2	0.908	0.835	0.991	46.5
45	46	1.7	86.2	42.5	42	51.1	0.901	0.831	0.989	45.5
44	45	1.7	84.5	41.5	41	50.3	0.909	0.824	0.99	44.5
43	44	1.8	82.8	40.3	39.9	49	0.906	0.824	0.989	43.5
42	43	1.9	81	39.8	39.4	47.7	0.904	0.836	0.989	42.5
41	42	2.2	79.1	38.8	38.5	46.4	0.912	0.838	0.989	41.5
40	41	2.2	76.9	37.7	37.4	45.6	0.907	0.83	0.989	40.5
39	40	2.5	74.7	37.1	36.8	44	0.912	0.842	0.989	39.5
38	39	2.3	72.2	35.9	35.5	43.2	0.909	0.831	0.988	38.5
37	38	2.4	69.9	35.1	34.9	41.8	0.912	0.841	0.989	37.5
36	37	2.5	67.5	34.3	34	40.7	0.916	0.842	0.988	36.5
35	36	2.6	65	33.2	32.9	39.5	0.917	0.84	0.988	35.5
34	35	2.8	62.4	32.3	32	38.5	0.917	0.84	0.988	34.5
33	34	2.7	59.6	31.4	31.1	37.3	0.916	0.842	0.986	33.5
32	33	2.9	56.9	30.6	30.4	36	0.918	0.852	0.989	32.5
31	32	2.9	54	29.7	29.4	35	0.884	0.848	0.991	31.5
30	31	2.8	51.1	28.8	28.5	34.1	0.87	0.842	0.991	30.5
29	30	3	48.3	27.8	27.5	32.9	0.868	0.842	0.991	29.5
28	29	3.1	45.3	26.9	26.6	31.8	0.869	0.843	0.991	28.5
27	28	3.2	42.2	25.9	25.6	30.7	0.875	0.843	0.991	27.5
26	27	3.5	39	25.1	24.8	29.3	0.878	0.854	0.991	26.5
25	26	3.3	35.5	24	23.8	28.3	0.877	0.848	0.991	25.5
24	25	3.5	32.2	23.1	22.9	27.2	0.883	0.848	0.992	24.5
23	24	3.4	28.7	22.2	22	25.9	0.89	0.855	0.993	23.5
22	23	3.5	25.3	21.2	21	24.8	0.897	0.854	0.993	22.5
21	22	3.5	21.8	20.3	20.2	23.6	0.902	0.86	0.994	21.5
20	21	3.2	18.3	19.4	19.2	22.4	0.908	0.862	0.994	20.5
19	20	3.2	15.1	18.4	18.3	21.4	0.906	0.863	0.994	19.5
18	19	2.8	11.9	17.4	17.3	20.2	0.911	0.865	0.995	18.5
17	18	2.4	9.1	16.6	16.5	19	0.918	0.874	0.995	17.5
16	17	2.1	6.7	15.6	15.5	17.9	0.922	0.876	0.996	16.5
15	16	1.4	4.6	14.7	14.6	16.7	0.928	0.878	0.996	15.5
14	15	1	3.2	13.8	13.7	15.6	0.933	0.883	0.997	14.5
13	14	0.6	2.2	12.7	12.6	14.5	0.929	0.875	0.997	13.5
12	13	0.4	1.6	11.8	11.8	13.4	0.931	0.882	0.997	12.5
11	12	0.3	1.2	10.8	10.7	12.4	0.931	0.873	0.997	11.5
10	11	0.2	0.9	9.8	9.8	11.3	0.934	0.873	0.998	10.5
9	10	0.2	0.7	8.9	8.8	10.2	0.932	0.869	0.997	9.6
8	9	0.1	0.5	7.8	7.8	9.1	0.939	0.859	0.998	8.5
7	8	0.1	0.4	7	7	8	0.942	0.88	0.999	7.5
6	7	0.1	0.3	5.9	5.9	6.9	0.938	0.857	0.998	6.5
5	6	0	0.2	5	5	5.8	0.945	0.876	0.999	5.5
4	5	0.1	0.2	4.1	4.1	4.7	0.949	0.869	0.999	4.6
3	4	0	0.1	3.2	3.1	3.8	0.905	0.84	0.994	3.6
2	3	0	0.1	1.9	1.9	2.4	0.876	0.779	0.996	2.3
1	2	0.1	0.1	1.4	1.4	1.7	0.96	0.838	1	1.6
0	1	0	0	0	0	0	1	0	0	0.5
