x,y,pixel_label,category_label,pixel_predict,category_predict
3.0,13.212,447,1,1,0
3.0,13.122,336,1,1,0
3.0,13.032,393,1,1,0
3.0,12.942,432,1,1,0
3.0,12.853,390,1,1,0
3.0,12.763,405,1,1,0
3.0,12.673,420,1,1,0
3.0,12.583,381,1,1,0
3.0,12.493,369,1,1,0
3.0,12.402999999999999,351,1,1,0
3.0,12.312999999999999,417,1,1,0
3.0,12.222999999999999,375,1,1,0
3.0,12.133,438,1,1,0
3.0,12.043,369,1,1,0
3.0,11.953,384,1,1,0
3.0,11.863,369,1,1,0
3.0,11.773,321,1,1,0
3.0,11.683,363,1,1,0
3.0,11.594000000000001,384,1,1,0
3.0,11.504000000000001,399,1,1,0
3.0,11.414000000000001,306,1,1,0
3.0,11.324000000000002,303,1,1,0
3.0,11.234000000000002,282,1,1,0
3.0,11.144,408,1,1,0
3.0,11.054,264,1,1,0
3.0,11.0,0,0,1,0
2.91,11.0,288,1,1,0
2.82,11.0,426,1,1,0
2.73,11.0,336,1,1,0
2.64,11.0,252,1,1,0
2.55,11.0,363,1,1,0
2.46,11.0,336,1,1,0
2.37,11.0,393,1,1,0
2.28,11.0,342,1,1,0
2.19,11.0,366,1,1,0
2.1,11.0,393,1,1,0
2.01,11.0,399,1,1,0
1.92,11.0,384,1,1,0
1.83,11.0,324,1,1,0
1.74,11.0,294,1,1,0
1.65,11.0,396,1,1,0
1.56,11.0,339,1,1,0
1.47,11.0,345,1,1,0
1.38,11.0,345,1,1,0
1.29,11.0,441,1,1,0
1.2,11.0,483,1,1,0
1.11,11.0,483,1,1,0
1.02,11.0,417,1,1,0
0.93,11.0,381,1,1,0
0.84,11.0,357,1,1,0
0.75,11.0,324,1,1,0
0.66,11.0,345,1,1,0
0.57,11.0,504,1,1,0
0.48,11.0,363,1,1,0
0.39,11.0,366,1,1,0
0.3,11.0,312,1,1,0
0.21,11.0,369,1,1,0
0.12,11.0,357,1,1,0
0.03,11.0,396,1,1,0
-0.06,11.0,387,1,1,0
-0.15,11.0,396,1,1,0
-0.24,11.0,375,1,1,0
-0.33,11.0,396,1,1,0
-0.42,11.0,378,1,1,0
-0.51,11.0,450,1,1,0
-0.6,11.0,405,1,1,0
-0.69,11.0,390,1,1,0
-0.78,11.0,339,1,1,0
-0.87,11.0,459,1,1,0
-0.96,11.0,354,1,1,0
-1.05,11.0,366,1,1,0
-1.14,11.0,396,1,1,0
-1.23,11.0,471,1,1,0
-1.32,11.0,378,1,1,0
-1.41,11.0,330,1,1,0
-1.5,11.0,474,1,1,0
-1.59,11.0,411,1,1,0
-1.68,11.0,399,1,1,0
-1.77,11.0,342,1,1,0
-1.86,11.0,411,1,1,0
-1.95,11.0,405,1,1,0
-2.04,11.0,408,1,1,0
-2.13,11.0,357,1,1,0
-2.22,11.0,426,1,1,0
-2.31,11.0,408,1,1,0
-2.4,11.0,450,1,1,0
-2.49,11.0,453,1,1,0
-2.58,11.0,375,1,1,0
-2.67,11.0,414,1,1,0
-2.76,11.0,372,1,1,0
-2.85,11.0,501,1,1,0
-2.94,11.0,354,1,1,0
-3.03,11.0,471,1,1,0
-3.12,11.0,432,1,1,0
-3.21,11.0,360,1,1,0
-3.3,11.0,456,1,1,0
-3.39,11.0,459,1,1,0
-3.48,11.0,408,1,1,0
-3.57,11.0,411,1,1,0
-3.66,11.0,363,1,1,0
-3.75,11.0,471,1,1,0
-3.84,11.0,390,1,1,0
-3.93,11.0,453,1,1,0
-4.02,11.0,405,1,1,0
-4.11,11.0,426,1,1,0
-4.2,11.0,372,1,1,0
-4.29,11.0,432,1,1,0
-4.38,11.0,369,1,1,0
-4.47,11.0,462,1,1,0
-4.56,11.0,471,1,1,0
-4.65,11.0,480,1,1,0
-4.74,11.0,426,1,1,0
-4.83,11.0,381,1,1,0
-4.92,11.0,375,1,1,0
-5.01,11.0,375,1,1,0
-5.1,11.0,480,1,1,0
-5.19,11.0,399,1,1,0
-5.28,11.0,435,1,1,0
-5.37,11.0,399,1,1,0
-5.46,11.0,390,1,1,0
-5.55,11.0,306,1,1,0
-5.64,11.0,405,1,1,0
-5.73,11.0,483,1,1,0
-5.82,11.0,378,1,1,0
-5.91,11.0,390,1,1,0
-6.0,11.0,411,1,1,0
-6.0,11.0,0,0,1,0
-6.0,11.09,402,1,1,0
-6.0,11.18,369,1,1,0
-6.0,11.27,492,1,1,0
-6.0,11.36,498,1,1,0
-6.0,11.45,387,1,1,0
-6.0,11.54,525,1,1,0
-6.0,11.629000000000001,432,1,1,0
-6.0,11.719000000000001,435,1,1,0
-6.0,11.809000000000001,432,1,1,0
-6.0,11.899000000000001,396,1,1,0
-6.0,11.989,381,1,1,0
-6.0,12.079,420,1,1,0
-6.0,12.169,441,1,1,0
-6.0,12.259,474,1,1,0
-6.0,12.349,453,1,1,0
-6.0,12.439,384,1,1,0
-6.0,12.529000000000002,351,1,1,0
-6.0,12.619000000000002,390,1,1,0
-6.0,12.709000000000001,390,1,1,0
-6.0,12.799000000000001,414,1,1,0
-6.0,12.888,327,1,1,0
-6.0,12.978,414,1,1,0
-6.0,13.068,390,1,1,0
-6.0,13.158,417,1,1,0
-6.0,13.248,387,1,1,0
-6.0,13.338,393,1,1,0
-6.0,13.427999999999999,483,1,1,0
-6.0,13.517999999999999,462,1,1,0
-6.0,13.607999999999999,522,1,1,0
-6.0,13.698,438,1,1,0
-6.0,13.788,519,1,1,0
-6.0,13.878,414,1,1,0
-6.0,13.968,378,1,1,0
-6.0,14.058,372,1,1,0
-6.0,14.147,456,1,1,0
-6.0,14.237,390,1,1,0
-6.0,14.327,429,1,1,0
-6.0,14.417,336,1,1,0
-6.0,14.507,480,1,1,0
-6.0,14.597000000000001,390,1,1,0
-6.0,14.687000000000001,456,1,1,0
-6.0,14.777000000000001,372,1,1,0
-6.0,14.867,360,1,1,0
-6.0,14.957,549,1,1,0
-6.0,15.047,408,1,1,0
-6.0,15.137,372,1,1,0
-6.0,15.227,534,1,1,0
-6.0,15.317,432,1,1,0
-6.0,15.405999999999999,474,1,1,0
-6.0,15.495999999999999,354,1,1,0
-6.0,15.585999999999999,453,1,1,0
-6.0,15.675999999999998,402,1,1,0
-6.0,15.765999999999998,357,1,1,0
-6.0,15.856,492,1,1,0
-6.0,15.946,432,1,1,0
2.9,16.0,0,0,1,0
2.9,15.92,480,1,1,0
2.9,15.84,651,1,1,0
2.9,15.76,627,1,1,0
2.9,15.68,582,1,1,0
2.9,15.6,609,1,1,0
2.9,15.52,594,1,1,0
2.9,15.44,741,2,1,0
2.9,15.36,651,1,1,0
2.9,15.28,741,2,1,0
2.9,15.2,780,2,1,0
2.9,15.12,696,1,1,0
2.9,15.04,777,2,1,0
2.9,14.96,633,1,1,0
2.9,14.88,807,2,1,0
2.9,14.8,693,1,1,0
2.9,14.72,795,2,1,0
2.9,14.64,738,2,1,0
2.9,14.56,633,1,1,0
2.9,14.48,585,1,1,0
2.9,14.4,621,1,1,0
2.9,14.32,735,2,1,0
2.9,14.24,777,2,1,0
2.9,14.16,720,2,1,0
2.9,14.08,789,2,1,0
2.9,14.0,738,2,1,0
2.9,13.92,831,2,1,0
2.9,13.84,789,2,1,0
2.9,13.76,705,1,1,0
2.9,13.68,756,2,1,0
2.9,13.6,705,1,1,0
2.9,13.52,681,1,1,0
2.9,13.44,612,1,1,0
2.9,13.36,768,2,1,0
2.9,13.28,795,2,1,0
2.9,13.2,609,1,1,0
2.9,13.12,738,2,1,0
2.9,13.04,618,1,1,0
2.9,12.96,666,1,1,0
2.9,12.88,864,2,1,0
2.9,12.8,681,1,1,0
2.9,12.72,951,3,1,0
2.9,12.64,834,2,1,0
2.9,12.56,765,2,1,0
2.9,12.48,1032,3,1,0
2.9,12.4,981,3,1,0
2.9,12.32,924,3,1,0
2.9,12.24,699,1,1,0
2.9,12.16,768,2,1,0
2.9,12.08,789,2,1,0
2.9,12.0,786,2,1,0
2.9,11.92,570,1,1,0
2.9,11.84,732,2,1,0
2.9,11.76,540,1,1,0
2.9,11.68,783,2,1,0
2.9,11.6,612,1,1,0
2.9,11.52,822,2,1,0
2.9,11.44,621,1,1,0
2.9,11.36,606,1,1,0
2.9,11.28,726,2,1,0
2.9,11.2,729,2,1,0
2.9,11.12,681,1,1,0
2.9,11.04,681,1,1,0
2.8,11.0,0,0,1,0
2.8,11.08,546,1,1,0
2.8,11.16,666,1,1,0
2.8,11.24,612,1,1,0
2.8,11.32,780,2,1,0
2.8,11.4,786,2,1,0
2.8,11.48,762,2,1,0
2.8,11.56,807,2,1,0
2.8,11.64,789,2,1,0
2.8,11.72,768,2,1,0
2.8,11.8,678,1,1,0
2.8,11.88,666,1,1,0
2.8,11.96,843,2,1,0
2.8,12.04,768,2,1,0
2.8,12.12,825,2,1,0
2.8,12.2,744,2,1,0
2.8,12.28,642,1,1,0
2.8,12.36,636,1,1,0
2.8,12.44,660,1,1,0
2.8,12.52,711,1,1,0
2.8,12.6,741,2,1,0
2.8,12.68,693,1,1,0
2.8,12.76,657,1,1,0
2.8,12.84,732,2,1,0
2.8,12.92,792,2,1,0
2.8,13.0,711,1,1,0
2.8,13.08,561,1,1,0
2.8,13.16,720,2,1,0
2.8,13.24,771,2,1,0
2.8,13.32,717,1,1,0
2.8,13.4,711,1,1,0
2.8,13.48,594,1,1,0
2.8,13.56,615,1,1,0
2.8,13.64,771,2,1,0
2.8,13.72,774,2,1,0
2.8,13.8,762,2,1,0
2.8,13.88,675,1,1,0
2.8,13.96,747,2,1,0
2.8,14.04,618,1,1,0
2.8,14.12,771,2,1,0
2.8,14.2,735,2,1,0
2.8,14.28,666,1,1,0
2.8,14.36,708,1,1,0
2.8,14.44,732,2,1,0
2.8,14.52,753,2,1,0
2.8,14.6,831,2,1,0
2.8,14.68,729,2,1,0
2.8,14.76,816,2,1,0
2.8,14.84,807,2,1,0
2.8,14.92,666,1,1,0
2.8,15.0,633,1,1,0
2.8,15.08,792,2,1,0
2.8,15.16,672,1,1,0
2.8,15.24,762,2,1,0
2.8,15.32,609,1,1,0
2.8,15.4,807,2,1,0
2.8,15.48,729,2,1,0
2.8,15.56,774,2,1,0
2.8,15.64,660,1,1,0
2.8,15.72,699,1,1,0
2.8,15.8,597,1,1,0
2.8,15.88,774,2,1,0
2.8,15.96,1128,3,1,0
2.7,16.0,0,0,1,0
2.7,15.92,522,1,1,0
2.7,15.84,555,1,1,0
2.7,15.76,690,1,1,0
2.7,15.68,783,2,1,0
2.7,15.6,924,3,1,0
2.7,15.52,717,1,1,0
2.7,15.44,642,1,1,0
2.7,15.36,717,1,1,0
2.7,15.28,735,2,1,0
2.7,15.2,639,1,1,0
2.7,15.12,675,1,1,0
2.7,15.04,714,1,1,0
2.7,14.96,747,2,1,0
2.7,14.88,855,2,1,0
2.7,14.8,708,1,1,0
2.7,14.72,795,2,1,0
2.7,14.64,690,1,1,0
2.7,14.56,774,2,1,0
2.7,14.48,864,2,1,0
2.7,14.4,762,2,1,0
2.7,14.32,822,2,1,0
2.7,14.24,753,2,1,0
2.7,14.16,774,2,1,0
2.7,14.08,849,2,1,0
2.7,14.0,666,1,1,0
2.7,13.92,723,2,1,0
2.7,13.84,690,1,1,0
2.7,13.76,732,2,1,0
2.7,13.68,696,1,1,0
2.7,13.6,696,1,1,0
2.7,13.52,723,2,1,0
2.7,13.44,762,2,1,0
2.7,13.36,753,2,1,0
2.7,13.28,723,2,1,0
2.7,13.2,738,2,1,0
2.7,13.12,858,2,1,0
2.7,13.04,582,1,1,0
2.7,12.96,675,1,1,0
2.7,12.88,687,1,1,0
2.7,12.8,723,2,1,0
2.7,12.72,753,2,1,0
2.7,12.64,678,1,1,0
2.7,12.56,747,2,1,0
2.7,12.48,783,2,1,0
2.7,12.4,711,1,1,0
2.7,12.32,699,1,1,0
2.7,12.24,783,2,1,0
2.7,12.16,765,2,1,0
2.7,12.08,792,2,1,0
2.7,12.0,783,2,1,0
2.7,11.92,690,1,1,0
2.7,11.84,738,2,1,0
2.7,11.76,702,1,1,0
2.7,11.68,675,1,1,0
2.7,11.6,657,1,1,0
2.7,11.52,768,2,1,0
2.7,11.44,624,1,1,0
2.7,11.36,741,2,1,0
2.7,11.28,714,1,1,0
2.7,11.2,705,1,1,0
2.7,11.12,771,2,1,0
2.7,11.04,561,1,1,0
2.6,11.0,0,0,1,0
2.6,11.08,465,1,1,0
2.6,11.16,624,1,1,0
2.6,11.24,810,2,1,0
2.6,11.32,924,3,1,0
2.6,11.4,816,2,1,0
2.6,11.48,645,1,1,0
2.6,11.56,846,2,1,0
2.6,11.64,855,2,1,0
2.6,11.72,939,3,1,0
2.6,11.8,756,2,1,0
2.6,11.88,987,3,1,0
2.6,11.96,837,2,1,0
2.6,12.04,852,2,1,0
2.6,12.12,858,2,1,0
2.6,12.2,729,2,1,0
2.6,12.28,777,2,1,0
2.6,12.36,828,2,1,0
2.6,12.44,903,3,1,0
2.6,12.52,909,3,1,0
2.6,12.6,729,2,1,0
2.6,12.68,819,2,1,0
2.6,12.76,786,2,1,0
2.6,12.84,672,1,1,0
2.6,12.92,651,1,1,0
2.6,13.0,681,1,1,0
2.6,13.08,759,2,1,0
2.6,13.16,705,1,1,0
2.6,13.24,795,2,1,0
2.6,13.32,768,2,1,0
2.6,13.4,723,2,1,0
2.6,13.48,723,2,1,0
2.6,13.56,678,1,1,0
2.6,13.64,744,2,1,0
2.6,13.72,726,2,1,0
2.6,13.8,540,1,1,0
2.6,13.88,582,1,1,0
2.6,13.96,729,2,1,0
2.6,14.04,597,1,1,0
2.6,14.12,723,2,1,0
2.6,14.2,714,1,1,0
2.6,14.28,882,3,1,0
2.6,14.36,813,2,1,0
2.6,14.44,975,3,1,0
2.6,14.52,759,2,1,0
2.6,14.6,843,2,1,0
2.6,14.68,693,1,1,0
2.6,14.76,885,3,1,0
2.6,14.84,756,2,1,0
2.6,14.92,723,2,1,0
2.6,15.0,759,2,1,0
2.6,15.08,612,1,1,0
2.6,15.16,603,1,1,0
2.6,15.24,630,1,1,0
2.6,15.32,699,1,1,0
2.6,15.4,768,2,1,0
2.6,15.48,750,2,1,0
2.6,15.56,675,1,1,0
2.6,15.64,612,1,1,0
2.6,15.72,717,1,1,0
2.6,15.8,729,2,1,0
2.6,15.88,738,2,1,0
2.6,15.96,753,2,1,0
2.5,16.0,0,0,1,0
2.5,15.92,450,1,1,0
2.5,15.84,585,1,1,0
2.5,15.76,783,2,1,0
2.5,15.68,492,1,1,0
2.5,15.6,588,1,1,0
2.5,15.52,807,2,1,0
2.5,15.44,774,2,1,0
2.5,15.36,630,1,1,0
2.5,15.28,819,2,1,0
2.5,15.2,870,3,1,0
2.5,15.12,615,1,1,0
2.5,15.04,765,2,1,0
2.5,14.96,723,2,1,0
2.5,14.88,807,2,1,0
2.5,14.8,741,2,1,0
2.5,14.72,897,3,1,0
2.5,14.64,813,2,1,0
2.5,14.56,810,2,1,0
2.5,14.48,711,1,1,0
2.5,14.4,744,2,1,0
2.5,14.32,999,3,1,0
2.5,14.24,741,2,1,0
2.5,14.16,603,1,1,0
2.5,14.08,702,1,1,0
2.5,14.0,684,1,1,0
2.5,13.92,861,2,1,0
2.5,13.84,738,2,1,0
2.5,13.76,729,2,1,0
2.5,13.68,696,1,1,0
2.5,13.6,762,2,1,0
2.5,13.52,687,1,1,0
2.5,13.44,774,2,1,0
2.5,13.36,681,1,1,0
2.5,13.28,720,2,1,0
2.5,13.2,822,2,1,0
2.5,13.12,633,1,1,0
2.5,13.04,759,2,1,0
2.5,12.96,642,1,1,0
2.5,12.88,699,1,1,0
2.5,12.8,678,1,1,0
2.5,12.72,738,2,1,0
2.5,12.64,777,2,1,0
2.5,12.56,804,2,1,0
2.5,12.48,810,2,1,0
2.5,12.4,762,2,1,0
2.5,12.32,822,2,1,0
2.5,12.24,618,1,1,0
2.5,12.16,864,2,1,0
2.5,12.08,825,2,1,0
2.5,12.0,882,3,1,0
2.5,11.92,879,3,1,0
2.5,11.84,747,2,1,0
2.5,11.76,672,1,1,0
2.5,11.68,780,2,1,0
2.5,11.6,669,1,1,0
2.5,11.52,591,1,1,0
2.5,11.44,702,1,1,0
2.5,11.36,735,2,1,0
2.5,11.28,759,2,1,0
2.5,11.2,708,1,1,0
2.5,11.12,624,1,1,0
2.5,11.04,600,1,1,0
2.4,11.0,0,0,1,0
2.4,11.08,489,1,1,0
2.4,11.16,549,1,1,0
2.4,11.24,849,2,1,0
2.4,11.32,1026,3,1,0
2.4,11.4,768,2,1,0
2.4,11.48,687,1,1,0
2.4,11.56,726,2,1,0
2.4,11.64,846,2,1,0
2.4,11.72,843,2,1,0
2.4,11.8,747,2,1,0
2.4,11.88,933,3,1,0
2.4,11.96,906,3,1,0
2.4,12.04,894,3,1,0
2.4,12.12,879,3,1,0
2.4,12.2,975,3,1,0
2.4,12.28,1011,3,1,0
2.4,12.36,759,2,1,0
2.4,12.44,816,2,1,0
2.4,12.52,882,3,1,0
2.4,12.6,756,2,1,0
2.4,12.68,993,3,1,0
2.4,12.76,786,2,1,0
2.4,12.84,699,1,1,0
2.4,12.92,666,1,1,0
2.4,13.0,855,2,1,0
2.4,13.08,777,2,1,0
2.4,13.16,813,2,1,0
2.4,13.24,735,2,1,0
2.4,13.32,768,2,1,0
2.4,13.4,684,1,1,0
2.4,13.48,906,3,1,0
2.4,13.56,741,2,1,0
2.4,13.64,783,2,1,0
2.4,13.72,705,1,1,0
2.4,13.8,750,2,1,0
2.4,13.88,765,2,1,0
2.4,13.96,864,2,1,0
2.4,14.04,819,2,1,0
2.4,14.12,876,3,1,0
2.4,14.2,522,1,1,0
2.4,14.28,798,2,1,0
2.4,14.36,855,2,1,0
2.4,14.44,717,1,1,0
2.4,14.52,813,2,1,0
2.4,14.6,747,2,1,0
2.4,14.68,663,1,1,0
2.4,14.76,729,2,1,0
2.4,14.84,771,2,1,0
2.4,14.92,765,2,1,0
2.4,15.0,777,2,1,0
2.4,15.08,654,1,1,0
2.4,15.16,690,1,1,0
2.4,15.24,729,2,1,0
2.4,15.32,765,2,1,0
2.4,15.4,672,1,1,0
2.4,15.48,768,2,1,0
2.4,15.56,801,2,1,0
2.4,15.64,777,2,1,0
2.4,15.72,681,1,1,0
2.4,15.8,687,1,1,0
2.4,15.88,603,1,1,0
2.4,15.96,714,1,1,0
2.3,16.0,0,0,1,0
2.3,15.92,456,1,1,0
2.3,15.84,747,2,1,0
2.3,15.76,786,2,1,0
2.3,15.68,807,2,1,0
2.3,15.6,765,2,1,0
2.3,15.52,609,1,1,0
2.3,15.44,618,1,1,0
2.3,15.36,633,1,1,0
2.3,15.28,732,2,1,0
2.3,15.2,600,1,1,0
2.3,15.12,714,1,1,0
2.3,15.04,1014,3,1,0
2.3,14.96,906,3,1,0
2.3,14.88,840,2,1,0
2.3,14.8,777,2,1,0
2.3,14.72,855,2,1,0
2.3,14.64,876,3,1,0
2.3,14.56,888,3,1,0
2.3,14.48,861,2,1,0
2.3,14.4,981,3,1,0
2.3,14.32,900,3,1,0
2.3,14.24,735,2,1,0
2.3,14.16,714,1,1,0
2.3,14.08,744,2,1,0
2.3,14.0,588,1,1,0
2.3,13.92,669,1,1,0
2.3,13.84,663,1,1,0
2.3,13.76,789,2,1,0
2.3,13.68,657,1,1,0
2.3,13.6,825,2,1,0
2.3,13.52,678,1,1,0
2.3,13.44,819,2,1,0
2.3,13.36,753,2,1,0
2.3,13.28,816,2,1,0
2.3,13.2,747,2,1,0
2.3,13.12,765,2,1,0
2.3,13.04,696,1,1,0
2.3,12.96,648,1,1,0
2.3,12.88,798,2,1,0
2.3,12.8,798,2,1,0
2.3,12.72,741,2,1,0
2.3,12.64,720,2,1,0
2.3,12.56,825,2,1,0
2.3,12.48,846,2,1,0
2.3,12.4,753,2,1,0
2.3,12.32,798,2,1,0
2.3,12.24,789,2,1,0
2.3,12.16,744,2,1,0
2.3,12.08,843,2,1,0
2.3,12.0,804,2,1,0
2.3,11.92,771,2,1,0
2.3,11.84,747,2,1,0
2.3,11.76,843,2,1,0
2.3,11.68,756,2,1,0
2.3,11.6,612,1,1,0
2.3,11.52,810,2,1,0
2.3,11.44,759,2,1,0
2.3,11.36,615,1,1,0
2.3,11.28,711,1,1,0
2.3,11.2,684,1,1,0
2.3,11.12,630,1,1,0
2.3,11.04,735,2,1,0
2.2,11.0,0,0,1,0
2.2,11.08,540,1,1,0
2.2,11.16,678,1,1,0
2.2,11.24,816,2,1,0
2.2,11.32,756,2,1,0
2.2,11.4,609,1,1,0
2.2,11.48,699,1,1,0
2.2,11.56,870,3,1,0
2.2,11.64,711,1,1,0
2.2,11.72,960,3,1,0
2.2,11.8,798,2,1,0
2.2,11.88,864,2,1,0
2.2,11.96,735,2,1,0
2.2,12.04,954,3,1,0
2.2,12.12,978,3,1,0
2.2,12.2,921,3,1,0
2.2,12.28,1083,3,1,0
2.2,12.36,927,3,1,0
2.2,12.44,648,1,1,0
2.2,12.52,732,2,1,0
2.2,12.6,684,1,1,0
2.2,12.68,849,2,1,0
2.2,12.76,741,2,1,0
2.2,12.84,870,3,1,0
2.2,12.92,900,3,1,0
2.2,13.0,798,2,1,0
2.2,13.08,708,1,1,0
2.2,13.16,774,2,1,0
2.2,13.24,738,2,1,0
2.2,13.32,699,1,1,0
2.2,13.4,834,2,1,0
2.2,13.48,660,1,1,0
2.2,13.56,909,3,1,0
2.2,13.64,786,2,1,0
2.2,13.72,678,1,1,0
2.2,13.8,837,2,1,0
2.2,13.88,738,2,1,0
2.2,13.96,873,3,1,0
2.2,14.04,909,3,1,0
2.2,14.12,810,2,1,0
2.2,14.2,708,1,1,0
2.2,14.28,795,2,1,0
2.2,14.36,843,2,1,0
2.2,14.44,828,2,1,0
2.2,14.52,879,3,1,0
2.2,14.6,903,3,1,0
2.2,14.68,948,3,1,0
2.2,14.76,825,2,1,0
2.2,14.84,756,2,1,0
2.2,14.92,846,2,1,0
2.2,15.0,777,2,1,0
2.2,15.08,720,2,1,0
2.2,15.16,750,2,1,0
2.2,15.24,873,3,1,0
2.2,15.32,585,1,1,0
2.2,15.4,849,2,1,0
2.2,15.48,783,2,1,0
2.2,15.56,690,1,1,0
2.2,15.64,663,1,1,0
2.2,15.72,696,1,1,0
2.2,15.8,699,1,1,0
2.2,15.88,675,1,1,0
2.2,15.96,594,1,1,0
2.1,16.0,0,0,1,0
2.1,15.92,522,1,1,0
2.1,15.84,576,1,1,0
2.1,15.76,612,1,1,0
2.1,15.68,678,1,1,0
2.1,15.6,780,2,1,0
2.1,15.52,930,3,1,0
2.1,15.44,672,1,1,0
2.1,15.36,846,2,1,0
2.1,15.28,690,1,1,0
2.1,15.2,825,2,1,0
2.1,15.12,759,2,1,0
2.1,15.04,906,3,1,0
2.1,14.96,771,2,1,0
2.1,14.88,918,3,1,0
2.1,14.8,771,2,1,0
2.1,14.72,900,3,1,0
2.1,14.64,657,1,1,0
2.1,14.56,855,2,1,0
2.1,14.48,837,2,1,0
2.1,14.4,750,2,1,0
2.1,14.32,810,2,1,0
2.1,14.24,843,2,1,0
2.1,14.16,687,1,1,0
2.1,14.08,795,2,1,0
2.1,14.0,735,2,1,0
2.1,13.92,768,2,1,0
2.1,13.84,711,1,1,0
2.1,13.76,576,1,1,0
2.1,13.68,789,2,1,0
2.1,13.6,882,3,1,0
2.1,13.52,987,3,1,0
